Daycare,Address,Price,Link,Notes,lat,lng,Town,Program Type,minAge,maxAge,Available
Packard Mountain,"432 State St, Belchertown, MA 01007",516/month,https://winnie.com/place/packard-mountain-belchertown#program-infanttoddler,,42.2701,-72.4012,Belchertown,Large Group,0,5,
Wildwood Lane Family Child Care,,,https://wildwoodlane.wixsite.com/wildwoodlanechild,Family based daycare; Website last updated in 2023,42.3731,-72.5199,Amherst,Family Child Care,0,12,
All About Learning,"7 Pomeroy Lane, Amherst, MA 01002",,https://www.allaboutlearningpreschool.com/,,42.3395737,-72.5198046,Amherst,Large Group,0,5,
Imaginarte House Family Child Care,"230 Russell St, Hadley, MA 01035",,https://imaginartehouse.org/,,42.3468,-72.5738,Hadley,Family Child Care,0,12,
Woodside Children's Center,"155 Woodside Avenue, Amherst, MA 01002",1980/month,https://www.woodsidechildrenscenter.org/admission-priorities/,,42.3756,-72.5127,Amherst,Large Group,0,5,
Hampshire College Children's Center,"893 West St, Amherst, MA 01002",2354/month,https://www.hampshire.edu/offices/finance/departments/auxiliary-services/elc,,42.3228,-72.5503,Amherst,Large Group,0,5,
Amherst Montessori School,"27 Pomeroy Lane, Amherst, MA 01002",2476.99/month,https://amherstmontessori.org/admission/tuition,,42.3389523,-72.5183423,Amherst,Large Group,0,6,
"Isabelle, Karen","996 E PLEASANT ST, Amherst, MA",1430/month,https://upwards.com/daycare/karen-isabelle-daycare,,42.384,-72.5109,Amherst,Family Child Care,0,5,
"Lugo, Amanda","52 Jeffrey Lane, Amherst, MA",1791.67/month,https://www.maplehillplaygarden.com/,,42.3842,-72.5352,Amherst,Family Child Care,1.3,5,
"Riahi, Celia","135 COTTAGE ST, Amherst, MA",,,,42.3849,-72.5149,Amherst,Family Child Care,0.8,5,false
"Suarez, Dania","123 LOGTOWN RD, Amherst, MA",,,Possible criminal record?? https://www.menstoppingviolence.org/people/dania-suarez/pnlzv4ghy0o0umy66cywezbl74obwy6l/,42.3656,-72.5401,Amherst,Family Child Care,0,5,
"Warbelton-Gottschall, Sandra","956 N PLEASANT ST, Amherst, MA",1430/month,https://upwards.com/daycare/sandra-warbelton-gottschall-daycare,,42.4069,-72.5252,Amherst,Family Child Care,0,5,
"Wu, Huey","77 Eames Ave., Amherst, MA",,https://www.kinside.com/childcare/ma/amherst/wu-huey,,42.3853,-72.5178,Amherst,Family Child Care,0,5,
